,champion,sum_total,win_total,lose_total,winrate_total,sum_blue_side,win_blue_side,lose_blue_side,winrate_blue_side,sum_red_side,win_red_side,lose_red_side,winrate_red_side,matches_less_25_min,win_lose_less_25_min,winrate_less_25_min,matches_25_to_30_min,win_lose_25_to_30_min,winrate_25_30_min,matches_30_35_min,win_lose_30_35_min,winrate_30_35_min,matches_35_40_min,win_lose_35_40_min,winrate_35_40_min,matches_40_45_min,win_lose_40_45_min,winrate_40_45_min,matches_more_45_min,win_lose_more_45_min,winrate_more_45_min
27,Galio,15,5,10,33%,5,1,4,20%,10,4,6,40%,2,0-2,0%,2,Feb-00,100%,7,4-Mar,43%,4,0-4,0%,0,0-0,0%,0,0-0,0%
28,Camille,14,8,6,57%,8,5,3,63%,6,3,3,50%,1,Jan-00,100%,4,2-Feb,50%,6,3-Mar,50%,1,Jan-00,100%,2,1-Jan,50%,0,0-0,0%
29,Alistar,14,5,9,36%,8,3,5,38%,6,2,4,33%,3,2-Jan,33%,8,4-Apr,50%,1,0-1,0%,1,0-1,0%,1,0-1,0%,0,0-0,0%
30,Orianna,13,7,6,54%,2,0,2,0%,11,7,4,64%,0,0-0,0%,1,Jan-00,100%,5,2-Mar,60%,4,3-Jan,25%,3,1-Feb,67%,0,0-0,0%
31,Yuumi,13,5,8,38%,2,1,1,50%,11,4,7,36%,1,Jan-00,100%,4,3-Jan,25%,2,1-Jan,50%,2,1-Jan,50%,3,2-Jan,33%,1,0-1,0%
32,Pyke,13,4,9,31%,8,4,4,50%,5,0,5,0%,1,0-1,0%,5,3-Feb,40%,4,2-Feb,50%,1,0-1,0%,1,0-1,0%,1,0-1,0%
33,Nocturne,12,3,9,25%,3,0,3,0%,9,3,6,33%,1,0-1,0%,4,3-Jan,25%,2,1-Jan,50%,2,1-Jan,50%,2,0-2,0%,1,0-1,0%
34,Aatrox,11,5,6,45%,2,1,1,50%,9,4,5,44%,3,0-3,0%,4,1-Mar,75%,3,2-Jan,33%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%
35,Ornn,10,7,3,70%,4,3,1,75%,6,4,2,67%,1,0-1,0%,4,Apr-00,100%,2,1-Jan,50%,2,1-Jan,50%,1,Jan-00,100%,0,0-0,0%
36,Olaf,10,6,4,60%,5,4,1,80%,5,2,3,40%,1,0-1,0%,4,2-Feb,50%,4,1-Mar,75%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%
